GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US06073017041,06073017041,"Census Tract 170.41, San Diego County, California",37.1,2.8,36.6,4.6,37.3,3.8
1400000US06073017042,06073017042,"Census Tract 170.42, San Diego County, California",34.3,2.0,35.1,2.3,32.7,3.4
1400000US06073017043,06073017043,"Census Tract 170.43, San Diego County, California",34.1,3.0,32.7,2.5,37.0,5.2
1400000US06073017044,06073017044,"Census Tract 170.44, San Diego County, California",35.5,2.3,36.5,3.2,34.8,2.5
1400000US06073017045,06073017045,"Census Tract 170.45, San Diego County, California",40.1,1.9,40.1,1.9,40.1,4.5
1400000US06073017046,06073017046,"Census Tract 170.46, San Diego County, California",41.1,2.8,42.6,4.8,40.8,2.2
1400000US06073017047,06073017047,"Census Tract 170.47, San Diego County, California",44.8,1.0,46.3,1.7,43.4,2.8
1400000US06073017048,06073017048,"Census Tract 170.48, San Diego County, California",34.9,3.1,33.6,3.8,35.5,2.6
1400000US06073017049,06073017049,"Census Tract 170.49, San Diego County, California",35.7,3.3,34.7,5.3,37.8,5.1
1400000US06073017050,06073017050,"Census Tract 170.50, San Diego County, California",39.3,3.8,35.0,3.7,44.4,3.3
1400000US06073017051,06073017051,"Census Tract 170.51, San Diego County, California",50.0,5.3,47.6,6.1,51.6,3.8
1400000US06073017052,06073017052,"Census Tract 170.52, San Diego County, California",39.1,1.9,36.5,2.0,39.8,3.4
1400000US06073017053,06073017053,"Census Tract 170.53, San Diego County, California",47.3,2.8,48.7,4.1,45.3,2.8
1400000US06073017054,06073017054,"Census Tract 170.54, San Diego County, California",44.0,3.5,39.9,5.8,46.8,3.4
1400000US06073017055,06073017055,"Census Tract 170.55, San Diego County, California",37.2,2.8,34.7,3.4,39.6,1.4
