GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2710,204
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",2067,208
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4599,324
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4559,382
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3626,235
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2686,220
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2886,252
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3877,400
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3709,399
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4892,435
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5242,389
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3297,296
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5553,442
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6761,501
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2859,290
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3905,362
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5893,682
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4619,516
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",5957,601
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",3052,268
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3285,183
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2636,238
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4464,509
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",4265,417
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",5079,490
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",2964,262
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",6276,748
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4778,474
