TRACT,YEAR,UNIT TYPE,UNITS,OCCUPIED,UNOCCUPIED,VACANCY RATE
53,2040,Single Family - Detached,1,2,-1,-1
53,2045,Mobile Home,0,0,0,
53,2045,Multifamily,8067,6108,1959,0.242841204908888
53,2045,Single Family - Detached,1,2,-1,-1
53,2050,Mobile Home,0,0,0,
53,2050,Multifamily,8167,6078,2089,0.255785478143749
53,2050,Single Family - Detached,1,2,-1,-1
54,2012,Mobile Home,0,0,0,
54,2012,Multifamily,6371,4974,1397,0.219274839114739
54,2012,Single Family - Detached,3,2,1,0.333333333333333
54,2020,Mobile Home,0,0,0,
54,2020,Multifamily,6637,4911,1726,0.260057254783788
54,2020,Single Family - Detached,3,2,1,0.333333333333333
54,2025,Mobile Home,0,0,0,
54,2025,Multifamily,6637,4847,1790,0.269700165737532
54,2025,Single Family - Detached,3,3,0,0
54,2030,Mobile Home,0,0,0,
54,2030,Multifamily,6637,4743,1894,0.285369896037366
54,2030,Single Family - Detached,3,3,0,0
54,2035,Mobile Home,0,0,0,
54,2035,Multifamily,6637,4476,2161,0.325598915172518
54,2035,Single Family - Detached,3,3,0,0
54,2040,Mobile Home,0,0,0,
54,2040,Multifamily,6609,4247,2362,0.357391435920714
54,2040,Single Family - Detached,3,3,0,0
54,2045,Mobile Home,0,0,0,
54,2045,Multifamily,7125,4601,2524,0.354245614035088
54,2045,Single Family - Detached,3,3,0,0
54,2050,Mobile Home,0,0,0,
54,2050,Multifamily,7733,4935,2798,0.361825940773309
54,2050,Single Family - Detached,3,3,0,0
55,2012,Mobile Home,0,0,0,
55,2012,Multifamily,13,13,0,0
55,2012,Single Family - Detached,0,0,0,
55,2020,Mobile Home,0,0,0,
55,2020,Multifamily,13,13,0,0
55,2020,Single Family - Detached,0,0,0,
55,2025,Mobile Home,0,0,0,
55,2025,Multifamily,13,13,0,0
55,2025,Single Family - Detached,0,0,0,
55,2030,Mobile Home,0,0,0,
55,2030,Multifamily,13,13,0,0
55,2030,Single Family - Detached,0,0,0,
55,2035,Mobile Home,0,0,0,
55,2035,Multifamily,13,13,0,0
