TRACT,YEAR,HOUSING TYPE,POPULATION
129,2040,Group Quarters - Military,0
129,2040,Group Quarters - Other,0
129,2040,Household,3447
129,2045,Group Quarters - College,0
129,2045,Group Quarters - Military,0
129,2045,Group Quarters - Other,0
129,2045,Household,3444
129,2050,Group Quarters - College,0
129,2050,Group Quarters - Military,0
129,2050,Group Quarters - Other,0
129,2050,Household,3438
13,2012,Group Quarters - College,0
13,2012,Group Quarters - Military,0
13,2012,Group Quarters - Other,19
13,2012,Household,6236
13,2020,Group Quarters - College,0
13,2020,Group Quarters - Military,0
13,2020,Group Quarters - Other,5
13,2020,Household,6379
13,2025,Group Quarters - College,6
13,2025,Group Quarters - Military,0
13,2025,Group Quarters - Other,4
13,2025,Household,6397
13,2030,Group Quarters - College,5
13,2030,Group Quarters - Military,0
13,2030,Group Quarters - Other,6
13,2030,Household,6431
13,2035,Group Quarters - College,3
13,2035,Group Quarters - Military,0
13,2035,Group Quarters - Other,9
13,2035,Household,6424
13,2040,Group Quarters - College,1
13,2040,Group Quarters - Military,0
13,2040,Group Quarters - Other,13
13,2040,Household,7007
13,2045,Group Quarters - College,0
13,2045,Group Quarters - Military,0
13,2045,Group Quarters - Other,16
13,2045,Household,7698
13,2050,Group Quarters - College,0
13,2050,Group Quarters - Military,0
13,2050,Group Quarters - Other,18
13,2050,Household,9832
130,2012,Group Quarters - College,0
130,2012,Group Quarters - Military,0
130,2012,Group Quarters - Other,424
130,2012,Household,5540
130,2020,Group Quarters - College,0
130,2020,Group Quarters - Military,0
130,2020,Group Quarters - Other,419
130,2020,Household,5439
130,2025,Group Quarters - College,2
130,2025,Group Quarters - Military,0
130,2025,Group Quarters - Other,420
130,2025,Household,5416
130,2030,Group Quarters - College,2
130,2030,Group Quarters - Military,0
130,2030,Group Quarters - Other,420
130,2030,Household,5478
130,2035,Group Quarters - College,2
130,2035,Group Quarters - Military,0
130,2035,Group Quarters - Other,420
130,2035,Household,5570
130,2040,Group Quarters - College,2
130,2040,Group Quarters - Military,0
130,2040,Group Quarters - Other,420
130,2040,Household,5456
130,2045,Group Quarters - College,2
130,2045,Group Quarters - Military,0
130,2045,Group Quarters - Other,420
130,2045,Household,5594
130,2050,Group Quarters - College,2
130,2050,Group Quarters - Military,0
130,2050,Group Quarters - Other,420
130,2050,Household,5985
131.02,2012,Group Quarters - College,0
131.02,2012,Group Quarters - Military,0
131.02,2012,Group Quarters - Other,3
131.02,2012,Household,6563
131.02,2020,Group Quarters - College,0
131.02,2020,Group Quarters - Military,0
131.02,2020,Group Quarters - Other,1
131.02,2020,Household,6327
131.02,2025,Group Quarters - College,2
131.02,2025,Group Quarters - Military,0
131.02,2025,Group Quarters - Other,4
131.02,2025,Household,6889
131.02,2030,Group Quarters - College,3
131.02,2030,Group Quarters - Military,0
131.02,2030,Group Quarters - Other,7
131.02,2030,Household,7710
131.02,2035,Group Quarters - College,4
131.02,2035,Group Quarters - Military,0
131.02,2035,Group Quarters - Other,11
131.02,2035,Household,8158
131.02,2040,Group Quarters - College,5
131.02,2040,Group Quarters - Military,0
131.02,2040,Group Quarters - Other,15
131.02,2040,Household,8535
131.02,2045,Group Quarters - College,6
131.02,2045,Group Quarters - Military,0
131.02,2045,Group Quarters - Other,19
131.02,2045,Household,8526
131.02,2050,Group Quarters - College,7
131.02,2050,Group Quarters - Military,0
131.02,2050,Group Quarters - Other,23
131.02,2050,Household,8425
131.03,2012,Group Quarters - College,0
131.03,2012,Group Quarters - Military,0
131.03,2012,Group Quarters - Other,72
131.03,2012,Household,2681
131.03,2020,Group Quarters - College,0
131.03,2020,Group Quarters - Military,0
131.03,2020,Group Quarters - Other,65
131.03,2020,Household,2749
131.03,2025,Group Quarters - College,4
131.03,2025,Group Quarters - Military,0
131.03,2025,Group Quarters - Other,67
131.03,2025,Household,2763
131.03,2030,Group Quarters - College,4
131.03,2030,Group Quarters - Military,0
131.03,2030,Group Quarters - Other,70
131.03,2030,Household,2779
131.03,2035,Group Quarters - College,4
131.03,2035,Group Quarters - Military,0
131.03,2035,Group Quarters - Other,73
131.03,2035,Household,2794
131.03,2040,Group Quarters - College,4
131.03,2040,Group Quarters - Military,0
131.03,2040,Group Quarters - Other,76
131.03,2040,Household,4136
131.03,2045,Group Quarters - College,4
131.03,2045,Group Quarters - Military,0
131.03,2045,Group Quarters - Other,79
131.03,2045,Household,5399
131.03,2050,Group Quarters - College,4
131.03,2050,Group Quarters - Military,0
131.03,2050,Group Quarters - Other,82
131.03,2050,Household,5426
131.04,2012,Group Quarters - College,0
131.04,2012,Group Quarters - Military,0
131.04,2012,Group Quarters - Other,9
131.04,2012,Household,5987
131.04,2020,Group Quarters - College,0
131.04,2020,Group Quarters - Military,0
131.04,2020,Group Quarters - Other,5
131.04,2020,Household,6150
131.04,2025,Group Quarters - College,2
131.04,2025,Group Quarters - Military,0
131.04,2025,Group Quarters - Other,5
131.04,2025,Household,6176
131.04,2030,Group Quarters - College,2
131.04,2030,Group Quarters - Military,0
131.04,2030,Group Quarters - Other,5
131.04,2030,Household,6189
131.04,2035,Group Quarters - College,2
131.04,2035,Group Quarters - Military,0
131.04,2035,Group Quarters - Other,5
131.04,2035,Household,6263
131.04,2040,Group Quarters - College,2
131.04,2040,Group Quarters - Military,0
131.04,2040,Group Quarters - Other,5
131.04,2040,Household,6660
131.04,2045,Group Quarters - College,2
131.04,2045,Group Quarters - Military,0
131.04,2045,Group Quarters - Other,5
131.04,2045,Household,6629
131.04,2050,Group Quarters - College,2
131.04,2050,Group Quarters - Military,0
131.04,2050,Group Quarters - Other,5
131.04,2050,Household,6561
132.03,2012,Group Quarters - College,0
132.03,2012,Group Quarters - Military,0
132.03,2012,Group Quarters - Other,24
132.03,2012,Household,6533
132.03,2020,Group Quarters - College,0
132.03,2020,Group Quarters - Military,0
132.03,2020,Group Quarters - Other,18
132.03,2020,Household,6472
132.03,2025,Group Quarters - College,4
132.03,2025,Group Quarters - Military,0
132.03,2025,Group Quarters - Other,18
132.03,2025,Household,6414
132.03,2030,Group Quarters - College,4
132.03,2030,Group Quarters - Military,0
132.03,2030,Group Quarters - Other,21
132.03,2030,Household,6455
132.03,2035,Group Quarters - College,4
132.03,2035,Group Quarters - Military,0
132.03,2035,Group Quarters - Other,24
132.03,2035,Household,6452
132.03,2040,Group Quarters - College,4
132.03,2040,Group Quarters - Military,0
132.03,2040,Group Quarters - Other,27
132.03,2040,Household,7368
132.03,2045,Group Quarters - College,4
132.03,2045,Group Quarters - Military,0
132.03,2045,Group Quarters - Other,30
132.03,2045,Household,7349
132.03,2050,Group Quarters - College,4
132.03,2050,Group Quarters - Military,0
132.03,2050,Group Quarters - Other,33
132.03,2050,Household,7270
132.04,2012,Group Quarters - College,0
132.04,2012,Group Quarters - Military,0
132.04,2012,Group Quarters - Other,0
132.04,2012,Household,4067
132.04,2020,Group Quarters - College,0
132.04,2020,Group Quarters - Military,0
132.04,2020,Group Quarters - Other,0
132.04,2020,Household,4157
132.04,2025,Group Quarters - College,0
132.04,2025,Group Quarters - Military,0
132.04,2025,Group Quarters - Other,0
132.04,2025,Household,4167
132.04,2030,Group Quarters - College,0
132.04,2030,Group Quarters - Military,0
132.04,2030,Group Quarters - Other,0
132.04,2030,Household,4182
132.04,2035,Group Quarters - College,0
132.04,2035,Group Quarters - Military,0
132.04,2035,Group Quarters - Other,0
132.04,2035,Household,3994
132.04,2040,Group Quarters - College,0
132.04,2040,Group Quarters - Military,0
132.04,2040,Group Quarters - Other,0
132.04,2040,Household,3933
132.04,2045,Group Quarters - College,0
132.04,2045,Group Quarters - Military,0
132.04,2045,Group Quarters - Other,0
132.04,2045,Household,3832
132.04,2050,Group Quarters - College,0
132.04,2050,Group Quarters - Military,0
132.04,2050,Group Quarters - Other,0
132.04,2050,Household,3749
132.05,2012,Group Quarters - College,0
132.05,2012,Group Quarters - Military,0
132.05,2012,Group Quarters - Other,0
132.05,2012,Household,2427
132.05,2020,Group Quarters - College,0
132.05,2020,Group Quarters - Military,0
132.05,2020,Group Quarters - Other,0
132.05,2020,Household,2471
132.05,2025,Group Quarters - College,0
132.05,2025,Group Quarters - Military,0
132.05,2025,Group Quarters - Other,0
132.05,2025,Household,2491
132.05,2030,Group Quarters - College,0
132.05,2030,Group Quarters - Military,0
132.05,2030,Group Quarters - Other,0
132.05,2030,Household,2493
132.05,2035,Group Quarters - College,0
132.05,2035,Group Quarters - Military,0
132.05,2035,Group Quarters - Other,0
132.05,2035,Household,2472
132.05,2040,Group Quarters - College,0
132.05,2040,Group Quarters - Military,0
132.05,2040,Group Quarters - Other,0
132.05,2040,Household,2432
132.05,2045,Group Quarters - College,0
132.05,2045,Group Quarters - Military,0
132.05,2045,Group Quarters - Other,0
132.05,2045,Household,2990
132.05,2050,Group Quarters - College,0
132.05,2050,Group Quarters - Military,0
132.05,2050,Group Quarters - Other,0
132.05,2050,Household,5522
132.06,2012,Group Quarters - College,0
132.06,2012,Group Quarters - Military,0
132.06,2012,Group Quarters - Other,9
132.06,2012,Household,6698
132.06,2020,Group Quarters - College,0
132.06,2020,Group Quarters - Military,0
132.06,2020,Group Quarters - Other,4
132.06,2020,Household,6805
132.06,2025,Group Quarters - College,2
132.06,2025,Group Quarters - Military,0
132.06,2025,Group Quarters - Other,6
132.06,2025,Household,6819
132.06,2030,Group Quarters - College,3
132.06,2030,Group Quarters - Military,0
132.06,2030,Group Quarters - Other,8
132.06,2030,Household,6844
132.06,2035,Group Quarters - College,4
132.06,2035,Group Quarters - Military,0
132.06,2035,Group Quarters - Other,10
132.06,2035,Household,6793
132.06,2040,Group Quarters - College,5
132.06,2040,Group Quarters - Military,0
132.06,2040,Group Quarters - Other,12
132.06,2040,Household,6879
132.06,2045,Group Quarters - College,6
132.06,2045,Group Quarters - Military,0
132.06,2045,Group Quarters - Other,14
132.06,2045,Household,6632
132.06,2050,Group Quarters - College,7
132.06,2050,Group Quarters - Military,0
132.06,2050,Group Quarters - Other,16
132.06,2050,Household,6557
133.01,2012,Group Quarters - College,0
133.01,2012,Group Quarters - Military,0
133.01,2012,Group Quarters - Other,15
133.01,2012,Household,5196
133.01,2020,Group Quarters - College,0
133.01,2020,Group Quarters - Military,0
133.01,2020,Group Quarters - Other,11
133.01,2020,Household,5284
133.01,2025,Group Quarters - College,2
133.01,2025,Group Quarters - Military,0
133.01,2025,Group Quarters - Other,13
133.01,2025,Household,5268
133.01,2030,Group Quarters - College,2
133.01,2030,Group Quarters - Military,0
133.01,2030,Group Quarters - Other,15
133.01,2030,Household,5278
133.01,2035,Group Quarters - College,2
133.01,2035,Group Quarters - Military,0
133.01,2035,Group Quarters - Other,18
133.01,2035,Household,5264
133.01,2040,Group Quarters - College,2
133.01,2040,Group Quarters - Military,0
133.01,2040,Group Quarters - Other,21
133.01,2040,Household,5244
133.01,2045,Group Quarters - College,2
133.01,2045,Group Quarters - Military,0
133.01,2045,Group Quarters - Other,24
133.01,2045,Household,5221
133.01,2050,Group Quarters - College,2
133.01,2050,Group Quarters - Military,0
133.01,2050,Group Quarters - Other,27
133.01,2050,Household,5241
133.02,2012,Group Quarters - College,0
133.02,2012,Group Quarters - Military,0
133.02,2012,Group Quarters - Other,13
133.02,2012,Household,4920
133.02,2020,Group Quarters - College,0
133.02,2020,Group Quarters - Military,0
133.02,2020,Group Quarters - Other,1
133.02,2020,Household,5049
133.02,2025,Group Quarters - College,2
133.02,2025,Group Quarters - Military,0
133.02,2025,Group Quarters - Other,2
133.02,2025,Household,5057
133.02,2030,Group Quarters - College,3
133.02,2030,Group Quarters - Military,0
133.02,2030,Group Quarters - Other,3
133.02,2030,Household,5081
133.02,2035,Group Quarters - College,4
133.02,2035,Group Quarters - Military,0
133.02,2035,Group Quarters - Other,4
133.02,2035,Household,5070
133.02,2040,Group Quarters - College,5
133.02,2040,Group Quarters - Military,0
133.02,2040,Group Quarters - Other,6
133.02,2040,Household,5036
133.02,2045,Group Quarters - College,6
133.02,2045,Group Quarters - Military,0
133.02,2045,Group Quarters - Other,8
133.02,2045,Household,5028
133.02,2050,Group Quarters - College,7
133.02,2050,Group Quarters - Military,0
133.02,2050,Group Quarters - Other,10
133.02,2050,Household,5021
133.03,2012,Group Quarters - College,0
133.03,2012,Group Quarters - Military,0
133.03,2012,Group Quarters - Other,5
133.03,2012,Household,4992
133.03,2020,Group Quarters - College,0
133.03,2020,Group Quarters - Military,0
133.03,2020,Group Quarters - Other,4
133.03,2020,Household,5034
133.03,2025,Group Quarters - College,2
133.03,2025,Group Quarters - Military,0
133.03,2025,Group Quarters - Other,5
133.03,2025,Household,5007
133.03,2030,Group Quarters - College,2
133.03,2030,Group Quarters - Military,0
133.03,2030,Group Quarters - Other,6
133.03,2030,Household,5016
133.03,2035,Group Quarters - College,2
133.03,2035,Group Quarters - Military,0
133.03,2035,Group Quarters - Other,7
133.03,2035,Household,5001
133.03,2040,Group Quarters - College,2
133.03,2040,Group Quarters - Military,0
133.03,2040,Group Quarters - Other,8
133.03,2040,Household,4960
133.03,2045,Group Quarters - College,2
133.03,2045,Group Quarters - Military,0
133.03,2045,Group Quarters - Other,9
133.03,2045,Household,4932
133.03,2050,Group Quarters - College,2
133.03,2050,Group Quarters - Military,0
133.03,2050,Group Quarters - Other,10
133.03,2050,Household,4917
133.06,2012,Group Quarters - College,0
133.06,2012,Group Quarters - Military,0
133.06,2012,Group Quarters - Other,16
133.06,2012,Household,4807
133.06,2020,Group Quarters - College,0
133.06,2020,Group Quarters - Military,0
133.06,2020,Group Quarters - Other,14
133.06,2020,Household,4854
133.06,2025,Group Quarters - College,4
133.06,2025,Group Quarters - Military,0
133.06,2025,Group Quarters - Other,17
133.06,2025,Household,4829
133.06,2030,Group Quarters - College,5
133.06,2030,Group Quarters - Military,0
133.06,2030,Group Quarters - Other,19
133.06,2030,Household,4845
133.06,2035,Group Quarters - College,6
133.06,2035,Group Quarters - Military,0
133.06,2035,Group Quarters - Other,21
133.06,2035,Household,4822
133.06,2040,Group Quarters - College,7
133.06,2040,Group Quarters - Military,0
133.06,2040,Group Quarters - Other,23
133.06,2040,Household,4773
133.06,2045,Group Quarters - College,8
133.06,2045,Group Quarters - Military,0
133.06,2045,Group Quarters - Other,25
133.06,2045,Household,4754
133.06,2050,Group Quarters - College,9
133.06,2050,Group Quarters - Military,0
133.06,2050,Group Quarters - Other,27
133.06,2050,Household,4750
133.07,2012,Group Quarters - College,0
133.07,2012,Group Quarters - Military,0
133.07,2012,Group Quarters - Other,33
133.07,2012,Household,3941
133.07,2020,Group Quarters - College,0
133.07,2020,Group Quarters - Military,0
133.07,2020,Group Quarters - Other,31
133.07,2020,Household,3961
133.07,2025,Group Quarters - College,4
133.07,2025,Group Quarters - Military,0
133.07,2025,Group Quarters - Other,34
133.07,2025,Household,3953
133.07,2030,Group Quarters - College,4
133.07,2030,Group Quarters - Military,0
133.07,2030,Group Quarters - Other,37
133.07,2030,Household,3964
133.07,2035,Group Quarters - College,4
133.07,2035,Group Quarters - Military,0
133.07,2035,Group Quarters - Other,40
133.07,2035,Household,3949
133.07,2040,Group Quarters - College,4
133.07,2040,Group Quarters - Military,0
133.07,2040,Group Quarters - Other,43
133.07,2040,Household,3903
133.07,2045,Group Quarters - College,4
133.07,2045,Group Quarters - Military,0
133.07,2045,Group Quarters - Other,46
133.07,2045,Household,3974
133.07,2050,Group Quarters - College,4
133.07,2050,Group Quarters - Military,0
133.07,2050,Group Quarters - Other,49
133.07,2050,Household,3949
133.08,2012,Group Quarters - College,0
133.08,2012,Group Quarters - Military,0
133.08,2012,Group Quarters - Other,20
133.08,2012,Household,3740
133.08,2020,Group Quarters - College,0
133.08,2020,Group Quarters - Military,0
133.08,2020,Group Quarters - Other,15
133.08,2020,Household,3756
133.08,2025,Group Quarters - College,4
133.08,2025,Group Quarters - Military,0
133.08,2025,Group Quarters - Other,19
133.08,2025,Household,3764
133.08,2030,Group Quarters - College,4
133.08,2030,Group Quarters - Military,0
133.08,2030,Group Quarters - Other,23
133.08,2030,Household,3783
133.08,2035,Group Quarters - College,4
133.08,2035,Group Quarters - Military,0
133.08,2035,Group Quarters - Other,27
133.08,2035,Household,3756
133.08,2040,Group Quarters - College,4
133.08,2040,Group Quarters - Military,0
133.08,2040,Group Quarters - Other,31
133.08,2040,Household,4047
133.08,2045,Group Quarters - College,4
133.08,2045,Group Quarters - Military,0
133.08,2045,Group Quarters - Other,35
133.08,2045,Household,4057
133.08,2050,Group Quarters - College,4
133.08,2050,Group Quarters - Military,0
133.08,2050,Group Quarters - Other,39
133.08,2050,Household,4058
133.09,2012,Group Quarters - College,0
133.09,2012,Group Quarters - Military,0
133.09,2012,Group Quarters - Other,28
133.09,2012,Household,6971
133.09,2020,Group Quarters - College,0
133.09,2020,Group Quarters - Military,0
133.09,2020,Group Quarters - Other,22
133.09,2020,Household,7068
133.09,2025,Group Quarters - College,4
133.09,2025,Group Quarters - Military,0
133.09,2025,Group Quarters - Other,27
133.09,2025,Household,7049
133.09,2030,Group Quarters - College,4
133.09,2030,Group Quarters - Military,0
133.09,2030,Group Quarters - Other,29
133.09,2030,Household,7085
133.09,2035,Group Quarters - College,4
133.09,2035,Group Quarters - Military,0
133.09,2035,Group Quarters - Other,31
133.09,2035,Household,7049
133.09,2040,Group Quarters - College,4
133.09,2040,Group Quarters - Military,0
133.09,2040,Group Quarters - Other,33
133.09,2040,Household,7007
133.09,2045,Group Quarters - College,4
133.09,2045,Group Quarters - Military,0
133.09,2045,Group Quarters - Other,35
133.09,2045,Household,7088
133.09,2050,Group Quarters - College,4
133.09,2050,Group Quarters - Military,0
133.09,2050,Group Quarters - Other,37
133.09,2050,Household,7095
133.10,2012,Group Quarters - College,0
133.10,2012,Group Quarters - Military,0
133.10,2012,Group Quarters - Other,482
133.10,2012,Household,28759
133.10,2020,Group Quarters - College,0
133.10,2020,Group Quarters - Military,0
133.10,2020,Group Quarters - Other,475
133.10,2020,Household,29204
133.10,2025,Group Quarters - College,4
133.10,2025,Group Quarters - Military,0
133.10,2025,Group Quarters - Other,480
133.10,2025,Household,29420
133.10,2030,Group Quarters - College,4
133.10,2030,Group Quarters - Military,0
133.10,2030,Group Quarters - Other,483
133.10,2030,Household,29550
133.10,2035,Group Quarters - College,4
133.10,2035,Group Quarters - Military,0
133.10,2035,Group Quarters - Other,486
133.10,2035,Household,29405
133.10,2040,Group Quarters - College,4
133.10,2040,Group Quarters - Military,0
133.10,2040,Group Quarters - Other,489
133.10,2040,Household,29759
133.10,2045,Group Quarters - College,4
133.10,2045,Group Quarters - Military,0
133.10,2045,Group Quarters - Other,492
133.10,2045,Household,29599
133.10,2050,Group Quarters - College,4
133.10,2050,Group Quarters - Military,0
133.10,2050,Group Quarters - Other,495
133.10,2050,Household,29624
133.11,2012,Group Quarters - College,0
133.11,2012,Group Quarters - Military,0
133.11,2012,Group Quarters - Other,0
133.11,2012,Household,9715
133.11,2020,Group Quarters - College,0
133.11,2020,Group Quarters - Military,0
133.11,2020,Group Quarters - Other,0
133.11,2020,Household,10325
133.11,2025,Group Quarters - College,0
133.11,2025,Group Quarters - Military,0
133.11,2025,Group Quarters - Other,0
133.11,2025,Household,10348
133.11,2030,Group Quarters - College,0
133.11,2030,Group Quarters - Military,0
133.11,2030,Group Quarters - Other,0
133.11,2030,Household,10375
133.11,2035,Group Quarters - College,0
133.11,2035,Group Quarters - Military,0
133.11,2035,Group Quarters - Other,0
133.11,2035,Household,10363
133.11,2040,Group Quarters - College,0
133.11,2040,Group Quarters - Military,0
133.11,2040,Group Quarters - Other,0
133.11,2040,Household,10269
133.11,2045,Group Quarters - College,0
133.11,2045,Group Quarters - Military,0
133.11,2045,Group Quarters - Other,0
133.11,2045,Household,10224
133.11,2050,Group Quarters - College,0
133.11,2050,Group Quarters - Military,0
133.11,2050,Group Quarters - Other,0
133.11,2050,Household,10236
133.12,2012,Group Quarters - College,0
133.12,2012,Group Quarters - Military,0
133.12,2012,Group Quarters - Other,2
133.12,2012,Household,2905
133.12,2020,Group Quarters - College,0
133.12,2020,Group Quarters - Military,0
133.12,2020,Group Quarters - Other,0
133.12,2020,Household,2949
133.12,2025,Group Quarters - College,0
133.12,2025,Group Quarters - Military,0
133.12,2025,Group Quarters - Other,0
133.12,2025,Household,2934
133.12,2030,Group Quarters - College,0
133.12,2030,Group Quarters - Military,0
133.12,2030,Group Quarters - Other,0
133.12,2030,Household,2947
133.12,2035,Group Quarters - College,0
133.12,2035,Group Quarters - Military,0
133.12,2035,Group Quarters - Other,0
133.12,2035,Household,2930
133.12,2040,Group Quarters - College,0
133.12,2040,Group Quarters - Military,0
133.12,2040,Group Quarters - Other,0
133.12,2040,Household,2943
133.12,2045,Group Quarters - College,0
133.12,2045,Group Quarters - Military,0
133.12,2045,Group Quarters - Other,0
133.12,2045,Household,2943
133.12,2050,Group Quarters - College,0
133.12,2050,Group Quarters - Military,0
133.12,2050,Group Quarters - Other,0
133.12,2050,Household,2946
133.13,2012,Group Quarters - College,0
133.13,2012,Group Quarters - Military,0
133.13,2012,Group Quarters - Other,0
133.13,2012,Household,11005
133.13,2020,Group Quarters - College,0
133.13,2020,Group Quarters - Military,0
133.13,2020,Group Quarters - Other,0
133.13,2020,Household,28925
133.13,2025,Group Quarters - College,0
133.13,2025,Group Quarters - Military,0
133.13,2025,Group Quarters - Other,0
133.13,2025,Household,45583
133.13,2030,Group Quarters - College,0
133.13,2030,Group Quarters - Military,0
133.13,2030,Group Quarters - Other,0
133.13,2030,Household,45790
133.13,2035,Group Quarters - College,0
133.13,2035,Group Quarters - Military,0
133.13,2035,Group Quarters - Other,0
133.13,2035,Household,45597
133.13,2040,Group Quarters - College,0
133.13,2040,Group Quarters - Military,0
133.13,2040,Group Quarters - Other,0
133.13,2040,Household,49780
133.13,2045,Group Quarters - College,0
133.13,2045,Group Quarters - Military,0
133.13,2045,Group Quarters - Other,0
133.13,2045,Household,52318
133.13,2050,Group Quarters - College,0
133.13,2050,Group Quarters - Military,0
133.13,2050,Group Quarters - Other,0
133.13,2050,Household,52415
133.14,2012,Group Quarters - College,0
133.14,2012,Group Quarters - Military,0
133.14,2012,Group Quarters - Other,0
133.14,2012,Household,15411
133.14,2020,Group Quarters - College,0
133.14,2020,Group Quarters - Military,0
133.14,2020,Group Quarters - Other,0
133.14,2020,Household,30721
133.14,2025,Group Quarters - College,0
133.14,2025,Group Quarters - Military,0
133.14,2025,Group Quarters - Other,0
133.14,2025,Household,41902
133.14,2030,Group Quarters - College,0
133.14,2030,Group Quarters - Military,0
133.14,2030,Group Quarters - Other,0
133.14,2030,Household,42100
133.14,2035,Group Quarters - College,0
133.14,2035,Group Quarters - Military,0
133.14,2035,Group Quarters - Other,0
133.14,2035,Household,41894
133.14,2040,Group Quarters - College,0
133.14,2040,Group Quarters - Military,0
133.14,2040,Group Quarters - Other,0
133.14,2040,Household,41528
133.14,2045,Group Quarters - College,0
133.14,2045,Group Quarters - Military,0
133.14,2045,Group Quarters - Other,0
133.14,2045,Household,41525
133.14,2050,Group Quarters - College,0
133.14,2050,Group Quarters - Military,0
133.14,2050,Group Quarters - Other,0
133.14,2050,Household,41621
134.01,2012,Group Quarters - College,0
134.01,2012,Group Quarters - Military,0
134.01,2012,Group Quarters - Other,15
134.01,2012,Household,4226
134.01,2020,Group Quarters - College,0
134.01,2020,Group Quarters - Military,0
134.01,2020,Group Quarters - Other,8
134.01,2020,Household,4290
134.01,2025,Group Quarters - College,2
134.01,2025,Group Quarters - Military,0
134.01,2025,Group Quarters - Other,7
134.01,2025,Household,4297
134.01,2030,Group Quarters - College,2
134.01,2030,Group Quarters - Military,0
134.01,2030,Group Quarters - Other,7
134.01,2030,Household,4328
134.01,2035,Group Quarters - College,2
134.01,2035,Group Quarters - Military,0
134.01,2035,Group Quarters - Other,7
134.01,2035,Household,4316
134.01,2040,Group Quarters - College,2
134.01,2040,Group Quarters - Military,0
134.01,2040,Group Quarters - Other,7
134.01,2040,Household,4283
134.01,2045,Group Quarters - College,2
134.01,2045,Group Quarters - Military,0
134.01,2045,Group Quarters - Other,7
134.01,2045,Household,4269
134.01,2050,Group Quarters - College,2
134.01,2050,Group Quarters - Military,0
134.01,2050,Group Quarters - Other,7
134.01,2050,Household,4270
134.09,2012,Group Quarters - College,0
134.09,2012,Group Quarters - Military,0
134.09,2012,Group Quarters - Other,39
134.09,2012,Household,5383
134.09,2020,Group Quarters - College,0
134.09,2020,Group Quarters - Military,0
134.09,2020,Group Quarters - Other,28
134.09,2020,Household,5485
134.09,2025,Group Quarters - College,6
134.09,2025,Group Quarters - Military,0
134.09,2025,Group Quarters - Other,29
134.09,2025,Household,5510
134.09,2030,Group Quarters - College,7
134.09,2030,Group Quarters - Military,0
134.09,2030,Group Quarters - Other,32
134.09,2030,Household,5515
134.09,2035,Group Quarters - College,8
134.09,2035,Group Quarters - Military,0
134.09,2035,Group Quarters - Other,35
134.09,2035,Household,5517
134.09,2040,Group Quarters - College,9
134.09,2040,Group Quarters - Military,0
134.09,2040,Group Quarters - Other,39
134.09,2040,Household,5487
134.09,2045,Group Quarters - College,10
134.09,2045,Group Quarters - Military,0
134.09,2045,Group Quarters - Other,43
134.09,2045,Household,5468
134.09,2050,Group Quarters - College,11
134.09,2050,Group Quarters - Military,0
134.09,2050,Group Quarters - Other,47
134.09,2050,Household,5473
134.10,2012,Group Quarters - College,0
134.10,2012,Group Quarters - Military,0
134.10,2012,Group Quarters - Other,9
134.10,2012,Household,7602
134.10,2020,Group Quarters - College,0
134.10,2020,Group Quarters - Military,0
134.10,2020,Group Quarters - Other,239
134.10,2020,Household,8131
134.10,2025,Group Quarters - College,4
134.10,2025,Group Quarters - Military,0
134.10,2025,Group Quarters - Other,237
134.10,2025,Household,8203
134.10,2030,Group Quarters - College,4
134.10,2030,Group Quarters - Military,0
134.10,2030,Group Quarters - Other,239
134.10,2030,Household,8371
134.10,2035,Group Quarters - College,4
134.10,2035,Group Quarters - Military,0
134.10,2035,Group Quarters - Other,241
134.10,2035,Household,8350
134.10,2040,Group Quarters - College,4
134.10,2040,Group Quarters - Military,0
134.10,2040,Group Quarters - Other,243
134.10,2040,Household,8414
134.10,2045,Group Quarters - College,4
134.10,2045,Group Quarters - Military,0
134.10,2045,Group Quarters - Other,245
134.10,2045,Household,8451
134.10,2050,Group Quarters - College,4
134.10,2050,Group Quarters - Military,0
134.10,2050,Group Quarters - Other,247
134.10,2050,Household,8539
134.11,2012,Group Quarters - College,0
134.11,2012,Group Quarters - Military,0
134.11,2012,Group Quarters - Other,0
134.11,2012,Household,5069
134.11,2020,Group Quarters - College,0
134.11,2020,Group Quarters - Military,0
134.11,2020,Group Quarters - Other,0
134.11,2020,Household,5507
134.11,2025,Group Quarters - College,0
134.11,2025,Group Quarters - Military,0
134.11,2025,Group Quarters - Other,0
134.11,2025,Household,5623
134.11,2030,Group Quarters - College,0
134.11,2030,Group Quarters - Military,0
134.11,2030,Group Quarters - Other,0
134.11,2030,Household,5693
134.11,2035,Group Quarters - College,0
134.11,2035,Group Quarters - Military,0
134.11,2035,Group Quarters - Other,0
134.11,2035,Household,5675
134.11,2040,Group Quarters - College,0
134.11,2040,Group Quarters - Military,0
134.11,2040,Group Quarters - Other,0
134.11,2040,Household,5625
134.11,2045,Group Quarters - College,0
134.11,2045,Group Quarters - Military,0
134.11,2045,Group Quarters - Other,0
134.11,2045,Household,5591
134.11,2050,Group Quarters - College,0
134.11,2050,Group Quarters - Military,0
134.11,2050,Group Quarters - Other,0
134.11,2050,Household,5581
134.12,2012,Group Quarters - College,0
134.12,2012,Group Quarters - Military,0
134.12,2012,Group Quarters - Other,7
134.12,2012,Household,5181
134.12,2020,Group Quarters - College,0
134.12,2020,Group Quarters - Military,0
134.12,2020,Group Quarters - Other,5
