GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2848,345
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1873,211
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4357,308
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4610,545
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3721,286
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2709,261
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2888,165
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3751,368
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3717,432
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4980,417
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5002,381
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3153,325
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5511,442
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6905,622
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2780,257
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3694,406
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5710,553
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",3930,412
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",6079,642
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",2833,164
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3320,179
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2610,237
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4608,478
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",4187,483
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",4665,386
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",2889,284
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",6383,851
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4539,340
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",4512,545
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",5525,452
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",6066,606
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",5988,776
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",4146,451
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",5079,483
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",6706,634
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",3687,314
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",5054,651
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",5839,561
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",3248,325
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",3699,340
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",3117,360
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",4576,530
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",3672,511
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",4757,413
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",4738,842
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",5531,402
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",3995,319
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",8525,734
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",3925,470
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",3707,354
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",5130,458
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",5124,478
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",3718,484
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",6292,641
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",4145,573
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",5843,487
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",3610,377
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",3612,377
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",6273,554
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",4756,314
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",5217,531
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",3685,337
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",6576,524
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",4844,461
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",4750,411
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",3211,376
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",6146,673
