GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2848,345,2823,347,1,3,0,95,2,3,0,95,22,34,0,95,0,95,0,95
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1873,211,1722,286,0,95,0,95,36,45,0,95,0,95,115,94,11,18,104,90
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4357,308,4155,300,40,57,0,95,106,72,0,95,9,25,47,46,36,41,11,20
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4610,545,3887,538,106,89,0,95,229,162,2,4,80,57,306,174,23,32,283,165
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3721,286,2755,343,194,142,37,42,465,217,0,95,49,64,221,120,0,95,221,120
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2709,261,2250,273,92,105,44,52,117,90,10,16,38,48,158,120,0,95,158,120
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2888,165,2434,188,94,91,36,50,241,123,29,45,10,16,44,30,0,95,44,30
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3751,368,3081,299,167,163,59,80,319,219,0,95,84,73,41,39,12,19,29,34
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3717,432,2928,328,244,171,18,20,234,146,0,95,158,158,135,103,0,95,135,103
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4980,417,3751,386,222,136,31,35,511,204,33,52,193,154,239,177,101,96,138,142
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5002,381,3741,381,231,103,0,95,127,61,20,36,387,240,496,195,0,95,496,195
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3153,325,2471,353,191,125,29,47,61,42,0,95,203,133,198,93,58,50,140,79
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5511,442,3600,473,548,187,112,110,334,211,21,34,473,345,423,283,19,29,404,281
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6905,622,3991,545,1168,363,504,439,321,161,0,95,503,284,418,183,103,129,315,136
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2780,257,2330,285,154,85,0,95,84,59,9,15,49,51,154,89,26,34,128,73
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3694,406,2885,413,390,161,12,18,125,87,3,7,225,161,54,43,0,95,54,43
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5710,553,3422,632,1101,291,210,219,499,227,0,95,171,157,307,202,50,54,257,202
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",3930,412,2789,402,308,173,0,95,271,190,0,95,124,78,438,374,21,34,417,369
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",6079,642,4088,587,1009,428,37,35,114,92,15,22,198,152,618,364,0,95,618,364
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",2833,164,2505,183,57,54,7,12,34,47,51,76,108,93,71,47,9,15,62,46
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3320,179,3021,209,76,88,0,95,63,52,11,17,22,24,127,85,59,70,68,55
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2610,237,2313,237,150,124,2,6,107,76,0,95,25,30,13,16,7,12,6,10
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4608,478,3112,457,690,242,22,35,274,130,0,95,254,161,256,197,0,95,256,197
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",4187,483,2262,492,687,246,0,95,523,156,0,95,517,263,198,148,62,50,136,142
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",4665,386,2631,401,164,151,16,23,1135,295,0,95,615,284,104,92,0,95,104,92
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",2889,284,1491,314,641,232,0,95,548,204,0,95,180,172,29,35,0,95,29,35
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",6383,851,3030,855,1041,410,39,60,1394,324,0,95,690,426,189,236,0,95,189,236
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4539,340,3143,394,401,186,62,75,209,164,8,15,514,315,202,159,23,28,179,154
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",4512,545,3145,507,315,140,41,61,611,262,0,95,377,212,23,38,0,95,23,38
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",5525,452,2927,482,134,112,0,95,1179,306,0,95,1176,532,109,124,18,29,91,119
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",6066,606,3510,594,310,174,125,94,631,267,12,23,1230,568,248,182,0,95,248,182
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",5988,776,3528,613,576,534,41,65,908,308,0,95,873,395,62,74,10,16,52,72
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",4146,451,1874,374,492,247,25,41,643,198,0,95,1075,459,37,51,19,29,18,30
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",5079,483,2493,379,1505,548,32,52,729,227,0,95,114,156,206,129,32,54,174,134
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",6706,634,3709,582,933,328,0,95,1511,422,0,95,381,302,172,111,86,80,86,63
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",3687,314,1117,266,618,196,0,95,1283,214,139,199,170,152,360,251,96,111,264,243
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",5054,651,2333,615,517,199,14,16,1077,156,35,38,1033,551,45,72,0,95,45,72
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",5839,561,3153,540,1210,378,0,95,710,189,45,63,332,262,389,408,64,101,325,402
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",3248,325,1721,419,479,232,0,95,357,227,0,95,380,267,311,199,132,141,179,151
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",3699,340,1064,281,685,271,0,95,1347,399,0,95,603,455,0,95,0,95,0,95
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",3117,360,910,371,695,254,0,95,664,230,0,95,660,321,188,130,0,95,188,130
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",4576,530,2001,466,1325,288,16,28,678,280,1,3,402,218,153,113,12,21,141,112
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",3672,511,2948,393,23,27,0,95,476,231,42,56,62,43,121,78,2,4,119,78
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",4757,413,2955,387,592,294,49,61,709,157,66,79,163,135,223,114,68,72,155,100
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",4738,842,3552,542,154,115,0,95,599,336,0,95,229,179,204,126,0,95,204,126
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",5531,402,3761,476,319,221,91,93,749,198,12,19,427,298,172,114,0,95,172,114
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",3995,319,2776,377,432,230,0,95,567,131,0,95,105,87,115,77,27,32,88,67
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",8525,734,6482,605,264,157,54,48,903,311,41,40,292,176,489,176,73,51,416,160
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",3925,470,2654,415,455,292,55,71,139,118,0,95,209,116,413,267,45,44,368,274
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",3707,354,954,394,1454,187,43,42,176,127,0,95,865,390,215,135,23,29,192,138
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",5130,458,2939,567,1053,310,19,31,234,116,29,45,612,386,244,113,36,56,208,97
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",5124,478,2227,481,595,205,0,95,81,95,0,95,1946,692,275,146,46,45,229,129
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",3718,484,1381,408,1507,286,0,95,44,52,127,258,599,312,60,40,16,25,44,32
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",6292,641,2023,537,2109,290,0,95,1118,318,0,95,862,382,180,95,56,63,124,70
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",4145,573,1474,468,794,322,0,95,299,201,262,264,1225,384,91,58,18,26,73,63
