GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2773,185
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",2158,241
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4828,415
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4946,405
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3916,306
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2957,224
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2921,237
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",4507,327
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",4232,467
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",5796,503
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5328,407
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3356,254
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5983,483
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6531,439
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",3198,228
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3894,359
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5012,712
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4568,494
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",5235,598
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",3321,286
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3461,233
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2656,230
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4880,471
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",3571,429
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",5333,469
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",3056,293
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",7468,735
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4758,462
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",5107,524
