GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",127353,29288
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",98669,16889
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",61381,17767
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",63667,13410
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",67794,13255
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",60152,8283
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",56566,5268
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",73945,8275
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",60635,13333
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",50996,5248
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",66329,5311
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",58397,9443
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",45266,6424
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",47346,6650
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",74450,13405
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",60693,4155
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",32829,8574
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",41534,7423
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",44702,7955
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",90227,10273
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",126016,22054
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",89643,30327
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",51421,5179
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",32074,9154
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",22083,5405
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",28962,3736
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",24558,5192
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",42549,4066
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",30042,3313
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",39024,4826
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",55787,3370
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",28810,3733
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",45887,5570
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",57292,5634
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",51268,4137
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",50972,16379
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",31046,4140
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",26758,2840
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",27721,10544
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",40889,3344
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",56645,3433
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",40243,7918
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",44167,19151
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",47763,9465
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",73071,12922
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",59918,7206
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",72935,19023
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",34452,6260
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",45125,11133
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",57500,13642
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",60656,6572
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",41526,5073
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",56031,11456
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",55475,6618
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",64528,11179
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",63398,12493
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",56131,9101
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",84750,10367
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",40658,6353
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",57292,12718
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",83245,9191
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",100000,9320
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",48869,7233
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",50872,4433
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",48750,14207
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",91467,11773
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",63388,11049
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",45846,9031
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",52235,4641
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",67845,9271
1400000US06073003212,06073003212,"Census Tract 32.12, San Diego County, California",78777,7661
1400000US06073003213,06073003213,"Census Tract 32.13, San Diego County, California",84050,9551
1400000US06073003214,06073003214,"Census Tract 32.14, San Diego County, California",66426,9903
1400000US06073003301,06073003301,"Census Tract 33.01, San Diego County, California",33077,12293
1400000US06073003303,06073003303,"Census Tract 33.03, San Diego County, California",32582,9466
1400000US06073003304,06073003304,"Census Tract 33.04, San Diego County, California",32400,6562
1400000US06073003305,06073003305,"Census Tract 33.05, San Diego County, California",22891,2863
1400000US06073003401,06073003401,"Census Tract 34.01, San Diego County, California",60094,13783
1400000US06073003403,06073003403,"Census Tract 34.03, San Diego County, California",37772,6357
1400000US06073003404,06073003404,"Census Tract 34.04, San Diego County, California",35673,7949
1400000US06073003501,06073003501,"Census Tract 35.01, San Diego County, California",35550,6559
1400000US06073003502,06073003502,"Census Tract 35.02, San Diego County, California",28164,6415
1400000US06073003601,06073003601,"Census Tract 36.01, San Diego County, California",35958,6186
1400000US06073003602,06073003602,"Census Tract 36.02, San Diego County, California",48125,11577
1400000US06073003603,06073003603,"Census Tract 36.03, San Diego County, California",35522,5492
1400000US06073003800,06073003800,"Census Tract 38, San Diego County, California",-,**
1400000US06073003901,06073003901,"Census Tract 39.01, San Diego County, California",26739,6853
1400000US06073003902,06073003902,"Census Tract 39.02, San Diego County, California",31398,5171
1400000US06073004000,06073004000,"Census Tract 40, San Diego County, California",35820,5490
1400000US06073004100,06073004100,"Census Tract 41, San Diego County, California",42045,7622
1400000US06073004200,06073004200,"Census Tract 42, San Diego County, California",92465,19678
1400000US06073004300,06073004300,"Census Tract 43, San Diego County, California",65338,9632
1400000US06073004400,06073004400,"Census Tract 44, San Diego County, California",70897,8794
1400000US06073004501,06073004501,"Census Tract 45.01, San Diego County, California",50938,13669
1400000US06073004600,06073004600,"Census Tract 46, San Diego County, California",48056,12465
1400000US06073004700,06073004700,"Census Tract 47, San Diego County, California",25404,5635
1400000US06073004800,06073004800,"Census Tract 48, San Diego County, California",33010,6141
1400000US06073004900,06073004900,"Census Tract 49, San Diego County, California",31903,4428
1400000US06073005000,06073005000,"Census Tract 50, San Diego County, California",22444,7224
1400000US06073005100,06073005100,"Census Tract 51, San Diego County, California",35815,11403
1400000US06073005200,06073005200,"Census Tract 52, San Diego County, California",35208,12069
1400000US06073005300,06073005300,"Census Tract 53, San Diego County, California",50995,12402
1400000US06073005400,06073005400,"Census Tract 54, San Diego County, California",86870,19684
1400000US06073005500,06073005500,"Census Tract 55, San Diego County, California",-,**
