GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2773,185,2455,214,0,12,0,12,84,51,9,14,68,50,157,81,34,38,123,76
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",2158,241,1907,277,33,47,8,12,84,59,0,12,66,57,60,55,11,17,49,51
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4828,415,4148,474,76,104,39,56,368,218,0,12,27,25,170,124,30,46,140,111
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4946,405,4079,402,177,138,0,12,215,124,8,16,156,187,311,137,23,32,288,135
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3916,306,3194,360,52,66,12,19,475,210,0,12,64,51,119,86,0,12,119,86
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2957,224,2490,249,98,71,8,13,164,149,0,12,82,51,115,56,15,17,100,55
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2921,237,2430,236,120,91,8,13,114,45,25,23,95,74,129,72,17,28,112,66
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",4507,327,3914,308,23,28,38,41,263,122,0,12,127,92,142,118,0,12,142,118
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",4232,467,3447,509,383,234,0,12,241,142,16,25,81,72,64,63,0,12,64,63
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",5796,503,3861,551,777,513,47,84,380,250,77,64,231,128,423,201,65,58,358,200
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5328,407,4141,469,151,177,38,35,387,175,0,17,56,40,555,367,119,106,436,343
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3356,254,2571,307,328,187,19,21,163,110,0,12,151,98,124,72,12,20,112,69
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5983,483,4626,515,280,166,67,84,228,169,0,17,376,255,406,231,23,36,383,230
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6531,439,4534,507,626,241,119,152,649,310,295,316,81,72,227,110,0,17,227,110
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",3198,228,2550,284,112,70,13,21,171,103,29,34,104,73,219,109,26,24,193,102
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3894,359,3168,296,191,100,0,12,171,97,0,12,128,68,236,111,84,87,152,79
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5012,712,3120,593,676,289,0,17,316,151,0,17,641,548,259,202,34,41,225,198
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4568,494,3303,420,634,291,0,12,101,93,0,12,265,189,265,164,24,35,241,158
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",5235,598,3728,526,664,283,34,39,328,136,0,17,290,183,191,114,71,80,120,90
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",3321,286,2749,277,90,84,0,12,155,87,0,12,102,67,225,137,0,12,225,137
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3461,233,3160,269,49,46,0,12,179,198,0,12,8,13,65,58,0,12,65,58
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2656,230,2094,226,157,117,11,18,149,129,0,12,53,60,192,114,16,25,176,109
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4880,471,3076,368,636,225,37,44,428,172,0,12,287,157,416,249,115,84,301,202
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",3571,429,1534,356,869,264,0,12,437,216,0,12,416,261,315,170,71,68,244,159
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",5333,469,2896,578,357,155,9,15,831,179,0,17,1125,431,115,76,50,53,65,56
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",3056,293,1527,309,520,203,0,12,575,160,0,12,284,164,150,112,22,26,128,113
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",7468,735,3982,822,799,249,0,17,1804,343,0,17,551,421,332,189,0,17,332,189
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4758,462,3495,491,450,233,40,42,386,200,0,12,107,94,280,137,42,41,238,131
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",5107,524,3209,503,557,256,8,12,672,153,29,45,597,286,35,39,0,17,35,39
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",6106,599,4026,587,590,180,31,36,763,189,0,17,448,262,248,165,129,138,119,128
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",6326,539,4117,672,879,191,0,17,630,146,26,34,430,344,244,124,0,17,244,124
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",5663,511,2959,594,147,110,21,23,935,184,0,17,1381,595,220,142,50,78,170,122
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",4186,415,2679,473,482,206,0,12,636,139,0,12,371,235,18,20,0,12,18,20
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",5972,433,3199,382,1457,276,111,90,719,318,26,38,216,119,244,98,19,22,225,98
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",7390,825,4316,841,901,403,0,17,1268,408,0,17,705,603,200,174,119,129,81,110
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",4757,429,1614,535,746,214,46,74,1827,213,0,12,285,261,239,224,27,44,212,182
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",5602,599,2736,528,553,275,0,17,1274,419,0,17,901,355,138,97,58,67,80,70
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",5914,446,2909,470,1181,228,130,119,1045,353,35,49,424,221,190,121,12,18,178,121
