GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2696,204,2614,206,0,12,0,12,17,18,10,15,20,23,35,33,27,30,8,13
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",2271,275,2052,294,32,46,0,12,102,66,0,12,33,47,52,62,10,17,42,59
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4496,377,4064,434,43,69,21,34,256,146,0,12,21,30,91,124,0,12,91,124
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4457,449,3774,395,92,86,0,12,270,130,2,4,154,176,165,103,5,12,160,102
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3726,252,2892,320,54,60,35,44,547,192,0,12,71,66,127,111,0,12,127,111
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2853,186,2310,204,104,83,24,38,166,125,21,36,63,46,165,78,10,15,155,78
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2899,257,2413,270,148,110,0,12,135,66,19,23,67,76,117,65,14,21,103,59
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",4212,312,3722,344,125,115,16,26,191,131,0,12,76,74,82,67,0,12,82,67
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3648,406,2906,366,413,236,0,12,185,112,17,27,55,80,72,70,0,12,72,70
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",5181,555,3753,488,554,309,76,103,357,257,56,53,164,112,221,137,40,44,181,134
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5286,377,4426,443,152,79,15,24,268,141,0,17,60,58,365,194,11,19,354,195
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3464,353,2817,332,217,135,0,12,64,40,0,12,141,81,225,112,82,71,143,82
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5907,632,4127,659,419,205,112,98,372,193,16,25,257,198,604,366,0,17,604,366
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6502,518,4006,464,891,315,223,162,633,307,42,122,304,231,403,177,53,83,350,150
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",3100,218,2543,263,174,107,11,18,116,78,11,19,89,78,156,74,15,18,141,72
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3828,362,3005,400,307,135,13,20,215,101,0,12,135,87,153,86,43,62,110,62
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5330,612,3379,585,956,303,0,17,359,183,0,17,242,180,394,304,28,33,366,302
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4400,450,3148,444,338,151,0,12,201,139,0,12,121,73,592,327,45,41,547,333
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",5869,645,3902,672,961,480,48,74,226,142,0,17,275,160,457,249,38,59,419,244
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",2996,248,2548,217,64,49,10,16,101,86,0,12,83,51,190,109,12,21,178,108
