GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2009 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2009 inflation-adjusted dollars)
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",112065,32550
1400000US06073000200,06073000200,"Census Tract 2, San Diego County, California",56563,8953
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",60769,10263
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",49320,5547
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",60213,7903
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",49869,11543
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",56250,15946
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",47325,6103
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",37415,3085
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",46478,5887
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",43382,4768
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",32405,7493
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",41094,6185
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",58864,12262
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",48688,7795
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",40707,4992
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",43313,8929
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",34970,4210
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",68036,13677
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",91590,7959
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",90781,13101
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",45160,12186
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",26995,4639
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",26503,6855
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",32056,6940
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",26149,6228
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",32240,6424
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",28935,7684
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",41933,4678
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",49747,3671
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",32662,9505
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",39890,4641
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",43734,7596
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",47959,10392
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",48385,4812
1400000US06073002706,06073002706,"Census Tract 27.06, San Diego County, California",44359,7753
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",23938,7634
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",24425,4510
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",39331,18135
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",31004,5030
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",25978,10045
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",45673,12006
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",73125,13402
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",52997,5408
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",56250,9319
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",32109,7336
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",50000,11478
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",36746,7086
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",62788,12314
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",35000,6202
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",62807,9854
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",60196,13378
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",52344,21171
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",70528,7806
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",54375,16327
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",78782,13893
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",37038,5163
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",55345,9686
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",69874,13991
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",83492,5729
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",58750,10445
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",48887,3602
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",44509,20296
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",79276,15234
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",62370,5609
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",57284,7360
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",51687,8105
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",66789,9596
1400000US06073003212,06073003212,"Census Tract 32.12, San Diego County, California",74357,13808
1400000US06073003213,06073003213,"Census Tract 32.13, San Diego County, California",82019,8350
1400000US06073003214,06073003214,"Census Tract 32.14, San Diego County, California",72100,8054
1400000US06073003301,06073003301,"Census Tract 33.01, San Diego County, California",29363,10457
1400000US06073003302,06073003302,"Census Tract 33.02, San Diego County, California",33667,8594
1400000US06073003303,06073003303,"Census Tract 33.03, San Diego County, California",38223,14257
1400000US06073003401,06073003401,"Census Tract 34.01, San Diego County, California",51702,4137
1400000US06073003403,06073003403,"Census Tract 34.03, San Diego County, California",31583,7943
1400000US06073003404,06073003404,"Census Tract 34.04, San Diego County, California",43378,9335
1400000US06073003501,06073003501,"Census Tract 35.01, San Diego County, California",27165,6010
1400000US06073003502,06073003502,"Census Tract 35.02, San Diego County, California",26647,8496
1400000US06073003601,06073003601,"Census Tract 36.01, San Diego County, California",29921,6416
1400000US06073003602,06073003602,"Census Tract 36.02, San Diego County, California",31729,3853
