GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",3165,360
1400000US06073000200,06073000200,"Census Tract 2, San Diego County, California",6117,370
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",5279,488
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3401,260
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2727,272
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2929,380
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3791,324
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",4156,363
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4949,391
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5503,929
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3086,365
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5668,437
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6480,562
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2707,315
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3970,331
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5111,537
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4518,439
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",6137,668
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",3047,187
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3407,215
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2529,278
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4717,570
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",4305,521
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",4682,617
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",2956,405
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",5840,738
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4933,450
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",4825,548
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",5784,553
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",6093,762
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",5795,694
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",4613,545
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",5601,566
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",7029,651
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",3797,427
1400000US06073002706,06073002706,"Census Tract 27.06, San Diego County, California",7980,894
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",4122,730
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",5970,792
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",3854,514
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",3630,543
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",3100,546
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",4619,485
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",4807,470
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",5295,426
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",3758,396
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",7886,753
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",3743,368
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",3522,325
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",4821,497
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",4814,627
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",3518,580
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",5944,567
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",4038,668
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",6007,474
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",3548,295
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",3316,296
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",6832,553
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",4791,474
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",4688,624
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",3689,362
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",6552,532
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",4279,449
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",4904,479
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",3185,357
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",5686,444
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",7298,544
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",4528,493
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",3778,446
