GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073016613,06073016613,"Census Tract 166.13, San Diego County, California",1736,154,1601,188,0,132,0,132,135,150,0,132,0,132,0,132,0,132,0,132
1400000US06073016614,06073016614,"Census Tract 166.14, San Diego County, California",4244,525,3096,386,775,816,0,132,147,90,0,132,110,103,116,82,46,53,70,65
1400000US06073016615,06073016615,"Census Tract 166.15, San Diego County, California",3565,987,2546,708,223,109,168,205,121,108,0,132,384,204,123,55,11,17,112,55
1400000US06073016616,06073016616,"Census Tract 166.16, San Diego County, California",3998,382,3124,302,212,142,40,35,219,121,8,14,65,63,330,194,70,88,260,166
1400000US06073016617,06073016617,"Census Tract 166.17, San Diego County, California",2962,287,2592,311,40,49,0,132,206,201,0,132,35,44,89,62,29,35,60,47
1400000US06073016701,06073016701,"Census Tract 167.01, San Diego County, California",8101,512,6733,537,296,206,33,38,191,137,0,132,557,330,291,259,0,132,291,259
1400000US06073016702,06073016702,"Census Tract 167.02, San Diego County, California",7374,1011,6304,1062,238,308,14,23,72,83,0,132,287,216,459,289,116,159,343,247
1400000US06073016802,06073016802,"Census Tract 168.02, San Diego County, California",6863,399,6505,393,0,132,0,132,99,149,0,132,68,56,191,155,64,74,127,115
1400000US06073016804,06073016804,"Census Tract 168.04, San Diego County, California",7150,524,6798,532,15,24,60,42,67,55,0,132,96,90,114,93,0,132,114,93
1400000US06073016806,06073016806,"Census Tract 168.06, San Diego County, California",4158,395,3173,397,11,18,51,42,8,13,4,13,377,330,534,278,0,132,534,278
1400000US06073016807,06073016807,"Census Tract 168.07, San Diego County, California",6897,419,6393,442,21,34,40,66,86,69,0,132,79,86,278,253,136,211,142,125
1400000US06073016809,06073016809,"Census Tract 168.09, San Diego County, California",5146,410,4274,531,70,68,15,24,88,64,0,132,244,194,455,233,88,98,367,202
1400000US06073016810,06073016810,"Census Tract 168.10, San Diego County, California",2822,204,2605,236,40,67,0,132,0,132,0,132,56,62,121,117,11,17,110,116
1400000US06073016811,06073016811,"Census Tract 168.11, San Diego County, California",4079,235,3435,329,347,378,31,37,149,197,13,21,43,62,61,58,0,132,61,58
1400000US06073016901,06073016901,"Census Tract 169.01, San Diego County, California",7682,645,6456,589,188,300,135,120,137,110,43,50,222,168,501,271,95,137,406,241
