GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",3149,272
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1666,124
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4191,291
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",5108,474
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3294,282
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2675,240
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2867,333
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3615,327
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",4210,367
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4627,463
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5403,1180
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",2864,257
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5420,516
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6890,577
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2602,217
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3765,330
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5235,640
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",3871,357
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",5365,558
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",2733,231
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3300,150
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2492,274
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4666,502
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",4302,464
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",4786,457
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",2821,355
