GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",46.7,3.5,50.0,7.6,46.0,3.6
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",46.3,0.9,46.3,1.3,46.4,6.5
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",39.0,2.5,39.3,6.6,38.9,2.5
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",40.9,5.5,43.4,2.6,36.0,2.6
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",36.0,2.8,38.7,4.0,33.4,3.3
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",39.0,2.8,39.6,1.5,36.8,2.5
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",39.6,2.9,40.1,2.0,37.5,6.7
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",38.2,3.0,40.3,4.7,34.5,4.8
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",36.7,3.3,37.4,7.0,34.9,5.3
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",35.8,2.4,36.1,4.9,35.6,2.1
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",36.4,5.1,38.2,6.2,35.8,4.0
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",34.2,2.7,34.6,3.2,33.9,3.6
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",36.3,2.5,36.3,5.6,36.4,2.1
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",31.4,1.3,31.3,2.5,31.5,2.0
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",40.0,2.6,39.4,3.2,41.7,4.5
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",36.1,1.7,37.1,2.8,35.4,4.5
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",29.9,2.5,30.6,3.0,29.4,3.1
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",35.1,2.2,35.7,2.1,32.7,2.6
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",32.6,2.4,32.2,3.9,33.2,3.3
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",45.0,2.1,45.1,2.1,44.9,3.8
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",46.9,3.3,44.1,2.5,48.7,4.4
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",43.6,3.6,46.2,4.2,42.2,7.3
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",32.8,2.2,34.3,4.3,32.4,2.1
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",24.4,2.5,26.1,5.6,23.8,5.5
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",31.8,2.8,29.8,4.2,33.4,4.6
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",29.9,2.0,26.6,3.4,33.3,2.3
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",25.5,1.3,25.5,3.2,25.5,2.6
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",26.5,1.9,27.1,3.7,26.3,2.7
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",29.8,3.7,27.4,5.1,32.3,3.4
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",32.4,3.9,30.5,3.4,34.6,4.6
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",31.3,3.4,30.5,5.5,31.9,3.4
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",30.5,3.3,29.8,3.9,31.0,6.0
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",24.9,1.9,24.6,2.3,25.3,3.3
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",28.1,3.5,30.1,4.5,24.1,6.0
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",32.3,3.8,30.5,1.7,37.1,6.1
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",38.6,4.6,40.2,4.8,37.2,9.6
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",31.9,2.8,34.4,3.5,26.9,5.7
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",24.8,2.9,25.3,4.9,24.5,3.4
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",30.5,4.5,28.5,6.7,31.2,4.3
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",27.0,4.0,27.4,7.9,26.8,4.6
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",27.3,3.0,25.7,3.4,27.8,3.1
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",34.9,5.1,34.3,6.4,35.1,6.8
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",21.1,0.5,21.5,0.7,20.6,0.6
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",37.2,2.2,37.7,2.8,36.5,3.3
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",25.1,3.4,27.1,1.8,21.3,1.3
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",29.6,2.3,28.2,3.0,30.5,3.6
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",34.8,4.5,39.5,4.0,28.0,6.3
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",20.1,0.4,21.4,0.8,19.6,0.3
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",28.6,2.1,29.3,4.6,27.9,1.9
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",32.1,4.2,35.2,7.9,30.9,5.8
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",37.5,2.9,35.2,5.6,41.0,3.2
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",25.8,2.9,25.9,4.9,24.9,5.8
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",36.4,2.9,38.3,5.9,36.0,3.3
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",37.7,3.5,39.3,4.2,36.1,3.2
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",32.5,5.5,30.2,6.7,35.9,5.9
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",30.8,1.9,28.4,4.2,32.0,5.1
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",33.7,3.5,28.5,5.2,39.2,6.5
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",30.6,2.5,27.5,4.1,37.5,5.0
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",28.0,3.2,25.4,2.4,32.0,3.8
