GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2920,265,2882,262,0,13,0,13,13,18,0,13,21,32,4,7,0,13,4,7
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1902,222,1769,260,24,39,0,13,43,44,0,13,24,39,42,38,8,13,34,36
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4292,289,4012,289,36,56,0,13,198,114,0,13,8,29,38,43,38,43,0,13
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4629,429,3857,461,106,91,0,13,176,120,3,6,183,203,304,184,55,85,249,149
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3595,306,2689,399,186,116,35,37,456,207,0,13,41,45,188,127,0,13,188,127
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2785,223,2214,263,131,124,26,41,143,109,14,23,58,50,199,116,9,15,190,116
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2737,189,2337,194,82,79,0,13,226,108,0,13,13,16,79,46,17,27,62,36
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3651,341,3050,380,94,92,26,30,318,229,0,13,115,87,48,41,0,13,48,41
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3964,463,2811,356,520,246,25,32,274,149,17,26,150,148,167,128,0,13,167,128
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4765,446,3739,400,117,79,31,37,383,244,43,51,200,150,252,174,123,123,129,118
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5299,374,4012,322,277,152,17,28,253,140,0,18,298,214,442,204,13,21,429,209
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3182,309,2507,401,163,116,27,41,62,45,0,13,215,88,208,107,84,67,124,77
