GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2920,265
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",1902,222
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4292,289
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4629,429
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3595,306
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2785,223
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2737,189
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3651,341
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3964,463
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4765,446
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5299,374
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3182,309
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5545,527
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6845,494
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2798,270
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3999,347
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5756,616
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4129,407
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",6246,802
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",2886,219
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3177,203
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2551,179
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4448,430
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",3989,498
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",4651,454
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",2931,296
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",6558,767
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4513,471
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",4774,562
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",5514,481
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",5661,394
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",6398,765
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",3944,427
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",4736,512
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",7561,691
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",3999,312
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",5628,573
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",5741,602
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",3236,430
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",3943,394
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",3210,356
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",4854,432
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",3347,462
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",5132,502
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",4360,536
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",6097,554
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",4094,359
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",8039,658
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",3863,510
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",4234,622
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",5364,359
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",5365,484
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",3834,415
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",6734,522
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",4132,443
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",6199,426
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",3503,381
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",3629,399
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",6625,641
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",4473,437
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",5258,623
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",3763,280
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",6481,598
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",5497,506
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",5067,464
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",3382,413
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",6331,617
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",6404,704
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",5407,558
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",3156,210
1400000US06073003212,06073003212,"Census Tract 32.12, San Diego County, California",4234,453
1400000US06073003213,06073003213,"Census Tract 32.13, San Diego County, California",3993,463
1400000US06073003214,06073003214,"Census Tract 32.14, San Diego County, California",5306,501
1400000US06073003301,06073003301,"Census Tract 33.01, San Diego County, California",3179,402
1400000US06073003303,06073003303,"Census Tract 33.03, San Diego County, California",4330,464
1400000US06073003304,06073003304,"Census Tract 33.04, San Diego County, California",3587,607
1400000US06073003305,06073003305,"Census Tract 33.05, San Diego County, California",5567,576
1400000US06073003401,06073003401,"Census Tract 34.01, San Diego County, California",6302,491
1400000US06073003403,06073003403,"Census Tract 34.03, San Diego County, California",4151,342
1400000US06073003404,06073003404,"Census Tract 34.04, San Diego County, California",4677,545
1400000US06073003501,06073003501,"Census Tract 35.01, San Diego County, California",4046,539
1400000US06073003502,06073003502,"Census Tract 35.02, San Diego County, California",4821,483
1400000US06073003601,06073003601,"Census Tract 36.01, San Diego County, California",3193,459
1400000US06073003602,06073003602,"Census Tract 36.02, San Diego County, California",3375,401
1400000US06073003603,06073003603,"Census Tract 36.03, San Diego County, California",4054,533
1400000US06073003800,06073003800,"Census Tract 38, San Diego County, California",7117,1449
1400000US06073003901,06073003901,"Census Tract 39.01, San Diego County, California",4708,597
1400000US06073003902,06073003902,"Census Tract 39.02, San Diego County, California",4682,521
1400000US06073004000,06073004000,"Census Tract 40, San Diego County, California",4721,553
1400000US06073004100,06073004100,"Census Tract 41, San Diego County, California",6809,571
1400000US06073004200,06073004200,"Census Tract 42, San Diego County, California",5842,474
1400000US06073004300,06073004300,"Census Tract 43, San Diego County, California",3643,320
1400000US06073004400,06073004400,"Census Tract 44, San Diego County, California",4042,336
1400000US06073004501,06073004501,"Census Tract 45.01, San Diego County, California",2743,354
1400000US06073004600,06073004600,"Census Tract 46, San Diego County, California",1988,213
1400000US06073004700,06073004700,"Census Tract 47, San Diego County, California",1925,260
1400000US06073004800,06073004800,"Census Tract 48, San Diego County, California",3676,482
1400000US06073004900,06073004900,"Census Tract 49, San Diego County, California",5059,547
1400000US06073005000,06073005000,"Census Tract 50, San Diego County, California",1974,373
1400000US06073005100,06073005100,"Census Tract 51, San Diego County, California",6621,1054
1400000US06073005200,06073005200,"Census Tract 52, San Diego County, California",4385,520
1400000US06073005300,06073005300,"Census Tract 53, San Diego County, California",6203,487
1400000US06073005400,06073005400,"Census Tract 54, San Diego County, California",7596,578
1400000US06073005500,06073005500,"Census Tract 55, San Diego County, California",62,31
1400000US06073005600,06073005600,"Census Tract 56, San Diego County, California",3486,457
1400000US06073005700,06073005700,"Census Tract 57, San Diego County, California",1784,342
1400000US06073005800,06073005800,"Census Tract 58, San Diego County, California",2561,334
1400000US06073005900,06073005900,"Census Tract 59, San Diego County, California",2616,264
1400000US06073006000,06073006000,"Census Tract 60, San Diego County, California",3482,425
1400000US06073006100,06073006100,"Census Tract 61, San Diego County, California",2343,240
1400000US06073006200,06073006200,"Census Tract 62, San Diego County, California",32,25
1400000US06073006300,06073006300,"Census Tract 63, San Diego County, California",3326,477
1400000US06073006500,06073006500,"Census Tract 65, San Diego County, California",2550,310
1400000US06073006600,06073006600,"Census Tract 66, San Diego County, California",1944,134
1400000US06073006801,06073006801,"Census Tract 68.01, San Diego County, California",2481,264
1400000US06073006802,06073006802,"Census Tract 68.02, San Diego County, California",5456,628
1400000US06073006900,06073006900,"Census Tract 69, San Diego County, California",5557,581
1400000US06073007002,06073007002,"Census Tract 70.02, San Diego County, California",3113,140
1400000US06073007100,06073007100,"Census Tract 71, San Diego County, California",4750,412
1400000US06073007200,06073007200,"Census Tract 72, San Diego County, California",5873,471
1400000US06073007301,06073007301,"Census Tract 73.01, San Diego County, California",4588,372
1400000US06073007302,06073007302,"Census Tract 73.02, San Diego County, California",2013,139
1400000US06073007400,06073007400,"Census Tract 74, San Diego County, California",6419,422
1400000US06073007501,06073007501,"Census Tract 75.01, San Diego County, California",4086,531
